epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7848142341930499,0.7872996052685226,0.3508771929824561,0.0,0.09535630841121495,0.2167736711081617,0.0011472648350324358,0.16666666666666666,2,10,1.0,keep,none,0,0
1,0.7761126888098807,0.7788138494837225,0.3508771929824561,0.0,0.12295560747663549,0.2152084651322603,0.0011339417345401289,0.16666666666666666,2,10,1.0,keep,none,0,0
2,0.7675459153630086,0.7704155099699322,0.3508771929824561,0.0,0.15508177570093457,0.2127729791410868,0.0011117686210596234,0.16666666666666666,2,10,1.0,keep,none,0,0
3,0.7591696330419924,0.7621622829061737,0.3567251461988304,0.0,0.20020443925233644,0.2095872642486899,0.0010821280535502882,0.16666666666666666,2,10,1.0,keep,none,0,0
4,0.7510303053326686,0.7541030718496264,0.3567251461988304,0.0,0.25817757009345793,0.20577563127680673,0.0010464984110486841,0.16666666666666666,2,10,1.0,keep,none,0,0
5,0.7431650906125047,0.7462780598200156,0.3567251461988304,0.0,0.3221378504672897,0.20146147234452455,0.0010063540978380713,0.16666666666666666,2,10,1.0,keep,none,0,0
6,0.7356019524481086,0.7387187517416836,0.3567251461988304,0.0,0.4066880841121495,0.19676239084551164,0.0009630819137792503,0.16666666666666666,2,10,1.0,keep,none,0,0
7,0.728359977324993,0.73144816479419,0.3567251461988304,0.0,0.4824766355140187,0.19178627045867533,0.000917920821614927,0.16666666666666666,2,10,1.0,keep,none,0,0
8,0.7214499152094614,0.7244812143810085,0.3567251461988304,0.0,0.5531542056074766,0.18662846563635963,0.0008719259152703244,0.16666666666666666,2,10,1.0,keep,none,0,0
9,0.7148749302246677,0.7178253002832343,0.36257309941520466,0.0,0.615070093457944,0.1813701860394329,0.0008259546454117008,0.16666666666666666,2,10,1.0,keep,none,0,0
10,0.7086315178694205,0.7114810644138778,0.36257309941520466,0.0,0.663697429906542,0.17607803404745948,0.0007806713474215845,0.16666666666666666,2,10,1.0,propose_prune_layer,in_progress,0,0
11,0.7180441290221612,0.7054432672189903,0.3742690058479532,0.036036036036036036,0.6980140186915887,0.1856422086509507,0.0008575322740797414,0.16666666666666666,2,10,1.0,keep,in_progress,0,0
